Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,age,Segment
1957.0,Graduation,Single,58138.0,0.0,0.0,58.0,635.0,8.0,546.0,12.0,8.0,88.0,3.0,8.0,10.0,4.0,7.0,67.0,1
1954.0,Graduation,Single,46344.0,1.0,1.0,38.0,11.0,1.0,6.0,2.0,1.0,6.0,2.0,1.0,1.0,2.0,5.0,70.0,0
1965.0,Graduation,Relationship,71613.0,0.0,0.0,26.0,426.0,49.0,127.0,111.0,21.0,42.0,1.0,8.0,2.0,10.0,4.0,59.0,1
1984.0,Graduation,Relationship,26646.0,1.0,0.0,26.0,11.0,4.0,20.0,10.0,3.0,5.0,2.0,2.0,0.0,4.0,6.0,40.0,0
1967.0,Master,Relationship,62513.0,0.0,1.0,16.0,520.0,42.0,98.0,0.0,42.0,14.0,2.0,6.0,4.0,10.0,6.0,57.0,1
1971.0,Graduation,Single,55635.0,0.0,1.0,34.0,235.0,65.0,164.0,50.0,49.0,27.0,4.0,7.0,3.0,7.0,6.0,53.0,1
1985.0,PhD,Relationship,33454.0,1.0,0.0,32.0,76.0,10.0,56.0,3.0,1.0,23.0,2.0,4.0,0.0,4.0,8.0,39.0,0
1974.0,PhD,Relationship,30351.0,1.0,0.0,19.0,14.0,0.0,24.0,3.0,3.0,2.0,1.0,3.0,0.0,2.0,9.0,50.0,0
1950.0,PhD,Relationship,5648.0,1.0,1.0,68.0,28.0,0.0,6.0,1.0,1.0,13.0,1.0,1.0,0.0,0.0,6.0,74.0,0
1983.0,Graduation,Relationship,52247.25135379061,1.0,0.0,11.0,5.0,5.0,6.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,7.0,41.0,1
1976.0,Foundational,Relationship,7500.0,0.0,0.0,59.0,6.0,16.0,11.0,11.0,1.0,16.0,1.0,2.0,0.0,3.0,8.0,48.0,0
1959.0,Graduation,Single,63033.0,0.0,0.0,82.0,194.0,61.0,480.0,12.0,8.0,30.0,1.0,3.0,4.0,8.0,2.0,65.0,1
1952.0,Master,Single,59354.0,1.0,1.0,53.0,233.0,2.0,53.0,3.0,5.0,14.0,3.0,6.0,1.0,5.0,6.0,72.0,1
1987.0,Graduation,Relationship,17323.0,0.0,0.0,38.0,3.0,14.0,17.0,6.0,1.0,5.0,1.0,1.0,0.0,3.0,8.0,37.0,0
1946.0,PhD,Single,82800.0,0.0,0.0,23.0,1006.0,22.0,115.0,59.0,68.0,45.0,1.0,7.0,6.0,12.0,3.0,78.0,1
1980.0,Graduation,Relationship,41850.0,1.0,1.0,51.0,53.0,5.0,19.0,2.0,13.0,4.0,3.0,3.0,0.0,3.0,8.0,44.0,0
1946.0,Graduation,Relationship,37760.0,0.0,0.0,20.0,84.0,5.0,38.0,12.0,12.0,28.0,2.0,4.0,1.0,6.0,7.0,78.0,0
1985.0,Foundational,Single,33812.0,1.0,0.0,86.0,4.0,17.0,19.0,30.0,24.0,39.0,2.0,2.0,1.0,3.0,6.0,39.0,0
1982.0,Graduation,Relationship,37040.0,0.0,0.0,41.0,86.0,2.0,73.0,69.0,38.0,48.0,1.0,4.0,2.0,5.0,8.0,42.0,0
